	FSC-A	FSC-H	SSC-A	SSC-H	CD15 FITC	CD33 PE	CD19 PE-CF594	CD117 PE-Cy5	CD13 PE-Cy7	HLA-DR PB	CD38 A594	CD34 APC	CD71 APC-A700	CD45 APC-H7	Time	CD64 FITC	CD123 PE	CD4 PE-TR	CD14 PE-Cy55	CD16 APC-A700	CD56 A488	CD7 PE	CD5 PE-Cy5	CD33 PE-Cy7	CD2 FITC	CD5 PE	CD34 PE-CF594	CD56 PE-Cy5	CD3 PE-Cy7	CD8 BV421	CD4 A594	CD7 APC	CD30 APC-A700	CD34 PE-TR	CD19 PE-TR	CD45 APC-Cy7	PE-Texas Red-H	A700-H	Pacific Blue-H	FL01	FL02	FL03	FL04	FL05	FL06	FL07	FL08	FL09	FL10
FSC-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSC-H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FL1	0	0	0	0	1	0.016	0.00553	0	0.002834	0.022	0.005	0	0.001	0	0	1	0.016	0.003	0.00525	0.000943	1	0.016	0.0018	0.004	1	0.016	0.0002	0	0	0.022	0.005	0	0	0.005	0.00767	0.0067	0	0	0	1	0.016	0.003	0.00525	0.002834	0.022	0.005	0	0.001	0
FL2	0	0	0	0	0.13	1	0.07	0.008	0.013	0	0.006	0.00001	0.00278	0.00063	0	0.13	1	0.07	0.025	0.000297	0.13	1	0.01	0.016	0.13	1	0.08	0.015	0.013	0	0.006	0.00001	0	0.1	0.1	0.0006	0	0	0	0.13	1	0.07	0.025	0.013	0	0.006	0.00001	0.00278	0.00063
FL3	0	0	0	0	0.049	0.42	1	0.009265	0.00615	0.00138	0.075	0.00001	0.000533	0.00082	0	0.049	0.42	1	0.01229	0.000478	0.049	0.42	0.004	0.0033	0.049	0.42	1	0.009	0.0045	0.00138	0.075	0.00001	0	1	1	0.0007	1	0	0	0.049	0.42	1	0.01229	0.00615	0.00138	0.075	0.00001	0.000533	0.00082
FL4	0	0	0	0	0.009	0.074	0.311	1	0.005	0.000898	0.0331	0.01	0.01	0.001	0	0.009	0.074	0.28	1	0.005	0.009	0.074	1	0.0013	0.009	0.074	0.318	1	0.004	0.000898	0.0331	0.01	0.05	0.295	0.26	0.00065	0	0	0	0.009	0.074	0.28	1	0.005	0.000898	0.0331	0.01	0.01	0.001
FL5	0	0	0	0	0.005	0.02	0.0744	0.25	1	0.000552	0.004	0.00666	0.01	0.015	0	0.005	0.02	0.07	0.395	0.0123	0.005	0.02	0.22	1	0.005	0.02	0.068	0.225	1	0.000552	0.004	0.00666	0.015	0.7	0.1174	0.0347	0	0	0	0.005	0.02	0.07	0.395	1	0.000552	0.004	0.00666	0.01	0.015
FL6	0	0	0	0	0.0005004	0	0.00006	0	0.00001	1	0.00001	0	0	0	0	0.0005004	0	0.002	0.00182	0	0.0005004	0	0	0	0.0005004	0	0.00119	0	0	1	0.00001	0	0	0.0033	0	0.0029	0	0	1	0.0005004	0	0.002	0.00182	0.00001	1	0.00001	0	0	0
FL7	0	0	0	0	0	0.016	0.2523	0.00010295	0.00011	0	1	0.01	0.001	0	0	0	0.016	0.19	0.00013	0	0	0.016	0.0001	0	0	0.016	0.262	0.002	0	0	1	0.01	0.01	0.248	0.25	0.00162	0	0	0	0	0.016	0.19	0.00013	0.00011	0	1	0.01	0.001	0
FL8	0	0	0	0	0.0001	0	0.000026	0.37	0.002	0.000048	0.007	1	0.04	0.006	0	0.0001	0	0.001497	0.0186	0.038	0.0001	0	0.48	0	0.0001	0	0.0003	0.51	0	0.000048	0.007	1	0.045	0.003	0	0.023	0	0	0	0.0001	0	0.001497	0.0186	0.002	0.000048	0.007	1	0.04	0.006
FL9	0	0	0	0	0	0	0.000052	0.26	0.003	0.000055	0.002	0.64	1	0.03	0	0	0	0.000166	0.24	1	0	0	0.2	0.00172	0	0	0.0003	0.22	0.0016	0.000055	0.002	0.64	1	0.00256	0	0.0706	0	1	0	0	0	0.000166	0.24	0.003	0.000055	0.002	0.64	1	0.03
FL10	0	0	0	0	0.0007	0	0.000195	0.0406	0.0325	0.000076	0.00832	0.17	0.35	1	0	0.0007	0	0	0.0423	0.35	0.0007	0	0.35	0.05	0.0007	0	0.0001	0.02987	0.038	0.000076	0.00832	0.17	0.3286	0	0.001	1	0	0	0	0.0007	0	0	0.0423	0.0325	0.000076	0.00832	0.17	0.35	1
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#Shared spillover values (i.e. default)					(CD8 FITC)	(CD8 PE)				(CD45 PB)	(CD4 A594)	(CD14 APC)				(CD8 FITC)	(CD8 PE)				(CD8 FITC)	(CD8 PE)			(CD8 FITC)	(CD8 PE)				(CD45 PB)									(CD45 PB)	(CD8 FITC)	(CD8 PE)	CD4 PE-TR	CD14 PE-Cy55	CD13 PE-Cy7	(CD45 PB)	(CD4 A594)	(CD14 APC)	CD71 APC-A700	CD45 APC-H7
