	FSC-A	FSC-H	SSC-A	SSC-H	CD15 FITC	CD33 PE	CD19 PE-CF594	CD117 PE-Cy5	CD13 PE-Cy7	HLA-DR PB	CD38 A594	CD34 APC	CD71 APC-A700	CD45 APC-H7	Time	CD64 FITC	CD123 PE	CD4 PE-TR	CD14 PE-Cy55	CD16 APC-A700	CD56 A488	CD7 PE	CD5 PE-Cy5	CD33 PE-Cy7	CD2 FITC	CD5 PE	CD34 PE-CF594	CD56 PE-Cy5	CD3 PE-Cy7	CD8 BV421	CD4 A594	CD7 APC	CD30 APC-A700	CD34 PE-TR	CD19 PE-TR	CD45 APC-Cy7	PE-Texas Red-H	A700-H	Pacific Blue-H	FL01	FL02	FL03	FL04	FL05	FL06	FL07	FL08	FL09	FL10
FSC-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSC-H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FL1	0	0	0	0	1	0.014	0.005	0	0	0.0006	0.004	0	0.001	0	0	1	0.014	0.007	0.0016	0	1	0.014	0.00295	0.0085	1	0.014	0	0.001	0.0016	0.0006	0.004	0	0	0	0.006	0.00456	0	0	0	1	0.014	0.007	0.0016	0	0.0006	0.004	0	0.001	0
FL2	0	0	0	0	0.11	1	0.075	0.016	0.012	0	0.003	0	0.001	0	0	0.11	1	0.11	0.027	0	0.11	1	0.014	0.02	0.11	1	0.065	0.015	0.016	0	0.003	0	0	0.1	0.1	0.0009	0	0	0	0.11	1	0.11	0.027	0.012	0	0.003	0	0.001	0
FL3	0	0	0	0	0.0379	0.435	1	0.005	0.001	0	0.064	0.001452	0.001	0.0008	0	0.0379	0.435	1	0.006	0	0.0379	0.435	0.0043	0.008	0.0379	0.435	1	0.0085	0.007	0	0.064	0.001452	0	1	1	0.00057	1	0	0	0.0379	0.435	1	0.006	0.001	0	0.064	0.001452	0.001	0.0008
FL4	0	0	0	0	0.007	0.086	0.28	1	0.001	0.0001	0.031	0.01	0.01	0	0	0.007	0.086	0.24	1	0.003	0.007	0.086	1	0.0056	0.007	0.086	0.2883	1	0.005	0.0001	0.031	0.01	0.055	0.32	0.34	0.00048	0	0	0	0.007	0.086	0.24	1	0.001	0.0001	0.031	0.01	0.01	0
FL5	0	0	0	0	0.00001	0.018	0.0755	0.23	1	0	0.005	0	0.018	0.015	0	0.00001	0.018	0.07	0.451	0.0001	0.00001	0.018	0.22	1	0.00001	0.018	0.06	0.235	1	0	0.005	0	0.1	0.08	0.1	0.01953	0	0	0	0.00001	0.018	0.07	0.451	1	0	0.005	0	0.018	0.015
FL6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.012	0	0	0.001	0	0	1	0	0	0	0	0.0001	0.00115	0	0	1	0	0	0	0	0	1	0	0	0	0
FL7	0	0	0	0	0.00005	0.016	0.28	0	0.0005	0	1	0.005	0.001	0	0	0.00005	0.016	0.19	0	0	0.00005	0.016	0	0.00235	0.00005	0.016	0.24	0.00156	0	0	1	0.005	0	0.215	0.24	0.0009	0	0	0	0.00005	0.016	0.19	0	0.0005	0	1	0.005	0.001	0
FL8	0	0	0	0	0.00005	0	0	0.37	0	0	0.008	1	0.05	0.0065	0	0.00005	0	0.001	0.027	0.052	0.00005	0	0.33	0.001	0.00005	0	0.00049	0.36	0	0	0.008	1	0.004	0.001	0.001	0.01	0	0	0	0.00005	0	0.001	0.027	0	0	0.008	1	0.05	0.0065
FL9	0	0	0	0	0	0	0.00127	0.16	0.004	0	0.003	0.65	1	0.051	0	0	0	0.001	0.21	1	0	0	0.099	0.0126	0	0	0.000269	0.24	0.01	0	0.003	0.65	1	0	0.001	0.085	0	1	0	0	0	0.001	0.21	0.004	0	0.003	0.65	1	0.051
FL10	0	0	0	0	0.00017	0	0.0005	0.06	0.07	0	0	0.2	0.39	1	0	0.00017	0	0.0001	0.0288	0.39	0.00017	0	0.235	0.07	0.00017	0	0.00022	0.0893	0.025	0	0	0.2	0.2	0	0	1	0	0	0	0.00017	0	0.0001	0.0288	0.07	0	0	0.2	0.39	1
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0005	0	0	0	0	0.003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
#					(CD8 FITC)	(CD8 PE)				(CD45 PB)	(CD4 A594)	(CD14 APC)				(CD8 FITC)	(CD8 PE)				(CD8 FITC)	(CD8 PE)			(CD8 FITC)	(CD8 PE)				(CD45 PB)	(CD4 A594)	(CD14 APC)							(CD45 PB)	(CD8 FITC)	(CD8 PE)	CD4 PE-TR	CD14 PE-Cy55	CD13 PE-Cy7	(CD45 PB)	(CD4 A594)	(CD14 APC)	CD71 APC-A700	CD45 APC-H7
