	FSC-A	FSC-H	SSC-A	SSC-H	CD71 FITC	CD117 PE	CD19 PE-TR	CD123 PerCP-Cy55	CD34 PE-Cy7	CD15 V450	CD38 A594	FL08	A700-H	APC-Cy7-H	CD45 KO	Time
FSC-A	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FSC-H	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-A	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
SSC-H	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
FL1	0	0	0	0	1	0.04	0.002	0.1	0	0	0	0	0	0	0	0
FL2	0	0	0	0	0.165	1	0.11	0.005	0.02	0	0	0	0	0	0	0
FL3	0	0	0	0	0.045	0.43	1	0.025	0.01	0	0.06	0	0	0	0	0
FL4	0	0	0	0	0.006	0.08	0.35	1	0	0	0.02	0	0	0	0	0
FL5	0	0	0	0	0.001	0.01	0.08	0.36	1	0	0	0	0	0	0	0
FL6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.015	0
FL7	0	0	0	0	0	0.04	0.25	0	0	0	1	0	0	0	0	0
FL8	0	0	0	0	0	0	0	0.06	0	0	0	1	0	0	0	0
FL9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
FL10	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
FL11	0	0	0	0	0.006	0	0	0	0	0.1	0	0	0	0	1	0
Time	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
																
																
																
